DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.23	19:15:00	1742.92	1743.16	1742.19	1742.72	1469	0	10
2022.11.23	19:30:00	1742.69	1744.16	1742.22	1743.47	1438	0	10
2022.11.23	19:45:00	1743.49	1744.61	1743.06	1743.36	1634	0	10
2022.11.23	20:00:00	1743.35	1744.26	1743.13	1743.45	1524	0	10
2022.11.23	20:15:00	1743.50	1745.08	1743.37	1744.99	1232	0	10
2022.11.23	20:30:00	1745.00	1746.16	1744.95	1746.07	816	0	10
2022.11.23	20:45:00	1746.07	1746.50	1743.51	1743.56	725	0	10
2022.11.23	21:00:00	1743.48	1753.26	1742.48	1749.46	4288	0	10
2022.11.23	21:15:00	1749.47	1752.77	1749.47	1751.25	2720	0	10
2022.11.23	21:30:00	1751.20	1751.36	1748.54	1750.60	2229	0	10
2022.11.23	21:45:00	1750.59	1752.35	1750.28	1751.91	1725	0	10
2022.11.23	22:00:00	1751.92	1752.26	1750.70	1752.26	1607	0	10
2022.11.23	22:15:00	1752.26	1752.67	1750.46	1751.31	1316	0	10
2022.11.23	22:30:00	1751.29	1751.69	1750.76	1751.02	1125	0	10
2022.11.23	22:45:00	1751.02	1751.32	1750.46	1751.21	1299	0	10
2022.11.23	23:00:00	1751.18	1751.24	1749.74	1750.33	692	0	10
2022.11.23	23:15:00	1750.32	1750.43	1749.65	1749.67	417	0	10
2022.11.23	23:30:00	1749.67	1750.26	1749.33	1749.44	439	0	10
2022.11.23	23:45:00	1749.44	1749.68	1749.13	1749.30	191	0	10
2022.11.24	01:00:00	1749.67	1750.56	1749.30	1750.20	264	0	18
2022.11.24	01:15:00	1750.29	1751.62	1750.21	1750.97	555	0	6
2022.11.24	01:30:00	1751.06	1751.26	1750.76	1751.22	376	0	6
2022.11.24	01:45:00	1751.24	1752.35	1751.20	1752.35	686	0	6
2022.11.24	02:00:00	1752.35	1753.34	1752.34	1752.43	768	0	6
2022.11.24	02:15:00	1752.42	1754.54	1752.30	1753.99	797	0	6
